"id","create_update_delete","sequence","pre_requisite","periodicity","tab_name"
"38","DELETE","38",NULL,"Daily","indent_track"
"39","DELETE","39",NULL,"Daily","inspection"
"40","DELETE","40",NULL,"Daily","inspection_type"
"41","DELETE","41",NULL,"Daily","inventory_item"
"43","DELETE","43",NULL,"Daily","inventory_item_status"
"44","DELETE","44",NULL,"Daily","inventory_item_type"
"45","DELETE","45",NULL,"Daily","inventory_transfer"
"46","DELETE","46",NULL,"Daily","item_issuance"
"47","DELETE","47",NULL,"Daily","line"
"48","DELETE","48",NULL,"Daily","lot"
"49","DELETE","49",NULL,"Daily","make"
"50","DELETE","50",NULL,"Daily","measure_or_activity_list"
"51","DELETE","51",NULL,"Daily","model"
"52","DELETE","52",NULL,"Daily","ohe_location"
"53","DELETE","53",NULL,"Daily","party"
"54","DELETE","54",NULL,"Daily","party_contact_mech"
"55","DELETE","55",NULL,"Daily","party_contact_mech_purpose"
"57","DELETE","57",NULL,"Daily","party_role"
"58","DELETE","58",NULL,"Daily","party_status"
"61","DELETE","61",NULL,"Daily","period_type"
"62","DELETE","62",NULL,"Daily","person"
"63","DELETE","63",NULL,"Daily","power_blocks"
"64","DELETE","64",NULL,"Daily","power_blocks_amendment"
"65","DELETE","65",NULL,"Daily","priority_type"
"66","DELETE","66",NULL,"Daily","product"
"67","DELETE","67",NULL,"Daily","product_category"
"68","DELETE","68",NULL,"Daily","product_category_member"
"69","DELETE","69",NULL,"Daily","product_category_type"
"70","DELETE","70",NULL,"Daily","product_type"
"71","DELETE","71",NULL,"Daily","psi_report_registry"
"74","DELETE","74",NULL,"Daily","report_registry"
"75","DELETE","75",NULL,"Daily","requirement"
"38","CREATE","38",NULL,"Daily","indent_track"
"39","CREATE","39",NULL,"Daily","inspection"
"40","CREATE","40",NULL,"Daily","inspection_type"
"41","CREATE","41",NULL,"Daily","inventory_item"
"43","CREATE","43",NULL,"Daily","inventory_item_status"
"44","CREATE","44",NULL,"Daily","inventory_item_type"
"45","CREATE","45",NULL,"Daily","inventory_transfer"
"46","CREATE","46",NULL,"Daily","item_issuance"
"47","CREATE","47",NULL,"Daily","line"
"48","CREATE","48",NULL,"Daily","lot"
"49","CREATE","49",NULL,"Daily","make"
"50","CREATE","50",NULL,"Daily","measure_or_activity_list"
"51","CREATE","51",NULL,"Daily","model"
"52","CREATE","52",NULL,"Daily","ohe_location"
"53","CREATE","53",NULL,"Daily","party"
"54","CREATE","54",NULL,"Daily","party_contact_mech"
"55","CREATE","55",NULL,"Daily","party_contact_mech_purpose"
"57","CREATE","57",NULL,"Daily","party_role"
"58","CREATE","58",NULL,"Daily","party_status"
"61","CREATE","61",NULL,"Daily","period_type"
"62","CREATE","62",NULL,"Daily","person"
"63","CREATE","63",NULL,"Daily","power_blocks"
"64","CREATE","64",NULL,"Daily","power_blocks_amendment"
"65","CREATE","65",NULL,"Daily","priority_type"
"66","CREATE","66",NULL,"Daily","product"
"67","CREATE","67",NULL,"Daily","product_category"
"68","CREATE","68",NULL,"Daily","product_category_member"
"69","CREATE","69",NULL,"Daily","product_category_type"
"70","CREATE","70",NULL,"Daily","product_type"
"71","CREATE","71",NULL,"Daily","psi_report_registry"
"74","CREATE","74",NULL,"Daily","report_registry"
"75","CREATE","75",NULL,"Daily","requirement"
"42","CREATE","42",NULL,"Daily","inventory_item_detail"
"10","CREATE","10",NULL,"Daily","asset_schedule_assoc"
"18","CREATE","18",NULL,"Daily","country_code"
"19","CREATE","19",NULL,"Daily","country_tele_code"
"20","CREATE","20",NULL,"Daily","daily_progress_summery"
"21","CREATE","21",NULL,"Daily","departments"
"22","CREATE","22",NULL,"Daily","dmtr"
"23","CREATE","23",NULL,"Daily","dmtr_inventoryetc_assoc"
"24","CREATE","24",NULL,"Daily","elementary_section_controls"
"25","CREATE","25",NULL,"Daily","elementary_section_lines"
"92","CREATE","92",NULL,"Daily","tss_feeder_master"
"26","CREATE","26",NULL,"Daily","elementary_sections"
"27","CREATE","27",NULL,"Daily","energy_consumption"
"28","CREATE","28",NULL,"Daily","energy_meter"
"29","CREATE","29",NULL,"Daily","facility"
"42","DELETE","42",NULL,"Daily","inventory_item_detail"
"10","DELETE","10",NULL,"Daily","asset_schedule_assoc"
"18","DELETE","18",NULL,"Daily","country_code"
"19","DELETE","19",NULL,"Daily","country_tele_code"
"20","DELETE","20",NULL,"Daily","daily_progress_summery"
"21","DELETE","21",NULL,"Daily","departments"
"22","DELETE","22",NULL,"Daily","dmtr"
"23","DELETE","23",NULL,"Daily","dmtr_inventoryetc_assoc"
"24","DELETE","24",NULL,"Daily","elementary_section_controls"
"25","DELETE","25",NULL,"Daily","elementary_section_lines"
"92","DELETE","92",NULL,"Daily","tss_feeder_master"
"26","DELETE","26",NULL,"Daily","elementary_sections"
"27","DELETE","27",NULL,"Daily","energy_consumption"
"28","DELETE","28",NULL,"Daily","energy_meter"
"29","DELETE","29",NULL,"Daily","facility"
"30","DELETE","30",NULL,"Daily","facility_type"
"31","DELETE","31",NULL,"Daily","foot_patrolling_sections"
"32","DELETE","32",NULL,"Daily","functional_location_hierarchy"
"33","DELETE","33",NULL,"Daily","gantry_master_data"
"34","DELETE","34",NULL,"Daily","good_identification"
"35","DELETE","35",NULL,"Daily","good_identification_type"
"93","DELETE","93",NULL,"Daily","uom"
"94","DELETE","94",NULL,"Daily","uom_conversion"
"95","DELETE","95",NULL,"Daily","uom_type"
"36","DELETE","36",NULL,"Daily","incoming_consignment"
"11","DELETE","11",NULL,"Daily","asset_status_update"
"77","DELETE","77",NULL,"Daily","requirement_type"
"78","DELETE","78",NULL,"Daily","role_type"
"79","DELETE","79",NULL,"Daily","schedule"
"81","DELETE","81",NULL,"Daily","stations_sections"
"82","DELETE","82",NULL,"Daily","status_item"
"83","DELETE","83",NULL,"Daily","status_type"
"84","DELETE","84",NULL,"Daily","status_valid_change"
"85","DELETE","85",NULL,"Daily","structure_type"
"86","DELETE","86",NULL,"Daily","sub_sectors"
"87","DELETE","87",NULL,"Daily","switch_maintenence_history"
"88","DELETE","88",NULL,"Daily","switch_maintenence_history_amendment"
"89","DELETE","89",NULL,"Daily","telecom_number"
"90","DELETE","90",NULL,"Daily","tpc_board"
"91","DELETE","91",NULL,"Daily","tpc_board_reporting_facilitys"
"30","CREATE","30",NULL,"Daily","facility_type"
"31","CREATE","31",NULL,"Daily","foot_patrolling_sections"
"32","CREATE","32",NULL,"Daily","functional_location_hierarchy"
"33","CREATE","33",NULL,"Daily","gantry_master_data"
"34","CREATE","34",NULL,"Daily","good_identification"
"35","CREATE","35",NULL,"Daily","good_identification_type"
"93","CREATE","93",NULL,"Daily","uom"
"94","CREATE","94",NULL,"Daily","uom_conversion"
"95","CREATE","95",NULL,"Daily","uom_type"
"36","CREATE","36",NULL,"Daily","incoming_consignment"
"11","CREATE","11",NULL,"Daily","asset_status_update"
"77","CREATE","77",NULL,"Daily","requirement_type"
"78","CREATE","78",NULL,"Daily","role_type"
"79","CREATE","79",NULL,"Daily","schedule"
"81","CREATE","81",NULL,"Daily","stations_sections"
"96","DELETE","96",NULL,"Daily","user_defualt_fac_cons_ind_etc"
"97","DELETE","97",NULL,"Daily","user_login"
"98","DELETE","98",NULL,"Daily","user_login_history"
"99","DELETE","99",NULL,"Daily","work_effort"
"100","DELETE","100",NULL,"Daily","work_effort_status"
"101","DELETE","101",NULL,"Daily","work_effort_type"
"0","DELETE","0",NULL,"Daily","allocation"
"12","DELETE","12",NULL,"Daily","assets_monthly_targets_history"
"13","DELETE","13",NULL,"Daily","assets_schedule_history"
"14","DELETE","14",NULL,"Daily","consignee"
"15","DELETE","15",NULL,"Daily","content_purpose_type"
"16","DELETE","16",NULL,"Daily","content_type"
"17","DELETE","17",NULL,"Daily","country_capital"
"37","DELETE","37",NULL,"Daily","incoming_consignment_detail"
"76","DELETE","76",NULL,"Daily","requirement_status"
"59","DELETE","59",NULL,"Daily","party_supplemental_data"
"1","DELETE","1",NULL,"Daily","app_device"
"72","DELETE","72",NULL,"Daily","report_group"
"60","DELETE","60",NULL,"Daily","pb_switch_control"
"2","DELETE","2",NULL,"Daily","app_device_login"
"73","DELETE","73",NULL,"Daily","report_group_member"
"3","DELETE","3",NULL,"Daily","app_device_unit"
"56","DELETE","56",NULL,"Daily","party_group"
"4","DELETE","4",NULL,"Daily","asset_make_model_assoc"
"5","DELETE","5",NULL,"Daily","asset_master_data"
"6","DELETE","6",NULL,"Daily","asset_master_history"
"7","DELETE","7",NULL,"Daily","asset_monthly_targets"
"8","DELETE","8",NULL,"Daily","asset_schedule_activity_assoc"
"9","DELETE","9",NULL,"Daily","asset_schedule_activity_record"
"80","DELETE","80",NULL,"Daily","sectors"
"82","CREATE","82",NULL,"Daily","status_item"
"83","CREATE","83",NULL,"Daily","status_type"
"84","CREATE","84",NULL,"Daily","status_valid_change"
"85","CREATE","85",NULL,"Daily","structure_type"
"86","CREATE","86",NULL,"Daily","sub_sectors"
"87","CREATE","87",NULL,"Daily","switch_maintenence_history"
"88","CREATE","88",NULL,"Daily","switch_maintenence_history_amendment"
"89","CREATE","89",NULL,"Daily","telecom_number"
"90","CREATE","90",NULL,"Daily","tpc_board"
"91","CREATE","91",NULL,"Daily","tpc_board_reporting_facilitys"
"96","CREATE","96",NULL,"Daily","user_defualt_fac_cons_ind_etc"
"97","CREATE","97",NULL,"Daily","user_login"
"98","CREATE","98",NULL,"Daily","user_login_history"
"99","CREATE","99",NULL,"Daily","work_effort"
"100","CREATE","100",NULL,"Daily","work_effort_status"
"101","CREATE","101",NULL,"Daily","work_effort_type"
"0","CREATE","0",NULL,"Daily","allocation"
"12","CREATE","12",NULL,"Daily","assets_monthly_targets_history"
"13","CREATE","13",NULL,"Daily","assets_schedule_history"
"14","CREATE","14",NULL,"Daily","consignee"
"15","CREATE","15",NULL,"Daily","content_purpose_type"
"16","CREATE","16",NULL,"Daily","content_type"
"17","CREATE","17",NULL,"Daily","country_capital"
"37","CREATE","37",NULL,"Daily","incoming_consignment_detail"
"76","CREATE","76",NULL,"Daily","requirement_status"
"59","CREATE","59",NULL,"Daily","party_supplemental_data"
"1","CREATE","1",NULL,"Daily","app_device"
"72","CREATE","72",NULL,"Daily","report_group"
"60","CREATE","60",NULL,"Daily","pb_switch_control"
"2","CREATE","2",NULL,"Daily","app_device_login"
"73","CREATE","73",NULL,"Daily","report_group_member"
"3","CREATE","3",NULL,"Daily","app_device_unit"
"56","CREATE","56",NULL,"Daily","party_group"
"4","CREATE","4",NULL,"Daily","asset_make_model_assoc"
"5","CREATE","5",NULL,"Daily","asset_master_data"
"6","CREATE","6",NULL,"Daily","asset_master_history"
"7","CREATE","7",NULL,"Daily","asset_monthly_targets"
"8","CREATE","8",NULL,"Daily","asset_schedule_activity_assoc"
"9","CREATE","9",NULL,"Daily","asset_schedule_activity_record"
"80","CREATE","80",NULL,"Daily","sectors"
"38","UPDATE","38",NULL,"Daily","indent_track"
"39","UPDATE","39",NULL,"Daily","inspection"
"40","UPDATE","40",NULL,"Daily","inspection_type"
"41","UPDATE","41",NULL,"Daily","inventory_item"
"43","UPDATE","43",NULL,"Daily","inventory_item_status"
"44","UPDATE","44",NULL,"Daily","inventory_item_type"
"45","UPDATE","45",NULL,"Daily","inventory_transfer"
"46","UPDATE","46",NULL,"Daily","item_issuance"
"47","UPDATE","47",NULL,"Daily","line"
"48","UPDATE","48",NULL,"Daily","lot"
"49","UPDATE","49",NULL,"Daily","make"
"50","UPDATE","50",NULL,"Daily","measure_or_activity_list"
"51","UPDATE","51",NULL,"Daily","model"
"52","UPDATE","52",NULL,"Daily","ohe_location"
"53","UPDATE","53",NULL,"Daily","party"
"54","UPDATE","54",NULL,"Daily","party_contact_mech"
"55","UPDATE","55",NULL,"Daily","party_contact_mech_purpose"
"57","UPDATE","57",NULL,"Daily","party_role"
"58","UPDATE","58",NULL,"Daily","party_status"
"61","UPDATE","61",NULL,"Daily","period_type"
"62","UPDATE","62",NULL,"Daily","person"
"63","UPDATE","63",NULL,"Daily","power_blocks"
"64","UPDATE","64",NULL,"Daily","power_blocks_amendment"
"65","UPDATE","65",NULL,"Daily","priority_type"
"66","UPDATE","66",NULL,"Daily","product"
"67","UPDATE","67",NULL,"Daily","product_category"
"68","UPDATE","68",NULL,"Daily","product_category_member"
"69","UPDATE","69",NULL,"Daily","product_category_type"
"70","UPDATE","70",NULL,"Daily","product_type"
"71","UPDATE","71",NULL,"Daily","psi_report_registry"
"74","UPDATE","74",NULL,"Daily","report_registry"
"75","UPDATE","75",NULL,"Daily","requirement"
"42","UPDATE","42",NULL,"Daily","inventory_item_detail"
"10","UPDATE","10",NULL,"Daily","asset_schedule_assoc"
"18","UPDATE","18",NULL,"Daily","country_code"
"19","UPDATE","19",NULL,"Daily","country_tele_code"
"20","UPDATE","20",NULL,"Daily","daily_progress_summery"
"21","UPDATE","21",NULL,"Daily","departments"
"22","UPDATE","22",NULL,"Daily","dmtr"
"23","UPDATE","23",NULL,"Daily","dmtr_inventoryetc_assoc"
"24","UPDATE","24",NULL,"Daily","elementary_section_controls"
"25","UPDATE","25",NULL,"Daily","elementary_section_lines"
"92","UPDATE","92",NULL,"Daily","tss_feeder_master"
"26","UPDATE","26",NULL,"Daily","elementary_sections"
"27","UPDATE","27",NULL,"Daily","energy_consumption"
"28","UPDATE","28",NULL,"Daily","energy_meter"
"29","UPDATE","29",NULL,"Daily","facility"
"30","UPDATE","30",NULL,"Daily","facility_type"
"31","UPDATE","31",NULL,"Daily","foot_patrolling_sections"
"32","UPDATE","32",NULL,"Daily","functional_location_hierarchy"
"33","UPDATE","33",NULL,"Daily","gantry_master_data"
"34","UPDATE","34",NULL,"Daily","good_identification"
"35","UPDATE","35",NULL,"Daily","good_identification_type"
"93","UPDATE","93",NULL,"Daily","uom"
"94","UPDATE","94",NULL,"Daily","uom_conversion"
"95","UPDATE","95",NULL,"Daily","uom_type"
"36","UPDATE","36",NULL,"Daily","incoming_consignment"
"11","UPDATE","11",NULL,"Daily","asset_status_update"
"77","UPDATE","77",NULL,"Daily","requirement_type"
"78","UPDATE","78",NULL,"Daily","role_type"
"79","UPDATE","79",NULL,"Daily","schedule"
"81","UPDATE","81",NULL,"Daily","stations_sections"
"82","UPDATE","82",NULL,"Daily","status_item"
"83","UPDATE","83",NULL,"Daily","status_type"
"84","UPDATE","84",NULL,"Daily","status_valid_change"
"85","UPDATE","85",NULL,"Daily","structure_type"
"86","UPDATE","86",NULL,"Daily","sub_sectors"
"87","UPDATE","87",NULL,"Daily","switch_maintenence_history"
"88","UPDATE","88",NULL,"Daily","switch_maintenence_history_amendment"
"89","UPDATE","89",NULL,"Daily","telecom_number"
"90","UPDATE","90",NULL,"Daily","tpc_board"
"91","UPDATE","91",NULL,"Daily","tpc_board_reporting_facilitys"
"96","UPDATE","96",NULL,"Daily","user_defualt_fac_cons_ind_etc"
"97","UPDATE","97",NULL,"Daily","user_login"
"98","UPDATE","98",NULL,"Daily","user_login_history"
"99","UPDATE","99",NULL,"Daily","work_effort"
"100","UPDATE","100",NULL,"Daily","work_effort_status"
"101","UPDATE","101",NULL,"Daily","work_effort_type"
"0","UPDATE","0",NULL,"Daily","allocation"
"12","UPDATE","12",NULL,"Daily","assets_monthly_targets_history"
"13","UPDATE","13",NULL,"Daily","assets_schedule_history"
"14","UPDATE","14",NULL,"Daily","consignee"
"15","UPDATE","15",NULL,"Daily","content_purpose_type"
"16","UPDATE","16",NULL,"Daily","content_type"
"17","UPDATE","17",NULL,"Daily","country_capital"
"37","UPDATE","37",NULL,"Daily","incoming_consignment_detail"
"76","UPDATE","76",NULL,"Daily","requirement_status"
"59","UPDATE","59",NULL,"Daily","party_supplemental_data"
"1","UPDATE","1",NULL,"Daily","app_device"
"72","UPDATE","72",NULL,"Daily","report_group"
"60","UPDATE","60",NULL,"Daily","pb_switch_control"
"2","UPDATE","2",NULL,"Daily","app_device_login"
"73","UPDATE","73",NULL,"Daily","report_group_member"
"3","UPDATE","3",NULL,"Daily","app_device_unit"
"56","UPDATE","56",NULL,"Daily","party_group"
"4","UPDATE","4",NULL,"Daily","asset_make_model_assoc"
"5","UPDATE","5",NULL,"Daily","asset_master_data"
"6","UPDATE","6",NULL,"Daily","asset_master_history"
"7","UPDATE","7",NULL,"Daily","asset_monthly_targets"
"8","UPDATE","8",NULL,"Daily","asset_schedule_activity_assoc"
"9","UPDATE","9",NULL,"Daily","asset_schedule_activity_record"
"80","UPDATE","80",NULL,"Daily","sectors"
